"d_gene","prop"
"IGHD1-1",0.0247828248658617
"IGHD1-14",0.0148362711435356
"IGHD1-20",0.00493719079689448
"IGHD1-26",0.06855953493259
"IGHD1-7",0.0107502999351592
"IGHD2-15",0.056007628649135
"IGHD2-2",0.0613762539412316
"IGHD2-21",0.0368196452195211
"IGHD2-8",0.0194550141971903
"IGHD3-10",0.108419903219368
"IGHD3-16",0.0465263927325937
"IGHD3-22",0.0810551666590253
"IGHD3-3",0.0655187177844849
"IGHD3-9",0.0278347860982772
"IGHD4-11",0.0134073259184524
"IGHD4-17",0.0441548025148479
"IGHD4-23",0.0175773001053842
"IGHD5-12",0.0306221475147824
"IGHD5-18",0.0296063956280083
"IGHD5-24",0.025297072234851
"IGHD6-13",0.0679542796386494
"IGHD6-19",0.0697844095437454
"IGHD6-25",0.00714819307536864
"IGHD6-6",0.0259027432613315
"IGHD7-27",0.0113994941743477
